User Input,Service Category,hindi_input,hindi_output,odia_input,odia_output,telugu_input,telugu_output,bengali_input,bengali_output
I need assistance with the sale agreement for a real estate transaction.,Document Writer,???? ?? ???? ?????? ?????? ?? ??? ?????? ?????? ?? ??? ?????? ?? ???????? ???,????????? ????,?? ????? ??????? ?????? ???? ??? ?????? ?????? ???? ???? ??????? ????? |,??????????? ?????? |,????? ??????? ???????? ???? ??????? ????????? ???? ????? ??????.,??????????? ?????,?????? ?????? ???????? ???? ??????? ???????? ???? ??????? ??????,??? ????
I'm involved in a dispute with a financial institution over investments.,Mediator,??? ????? ?? ?? ??????? ??????? ?? ??? ????? ??? ????? ????,???????,??? ??????? ???? ?? ?????? ?????????? ???? ?? ????? ???? ???? |,?????????,???? ???????????? ?????? ??????? ???????? ????????????.,?????????,??? ?????????? ????? ?????? ???????????? ???? ?????? ??????,?????????????
I need legal advice for a child support modification.,Advocate,???? ?? ??? ?????? ?????? ?? ??? ?????? ???? ?? ???????? ???,????,?? ???? ?????? ?????????? ???? ??? ????? ??????? ????? |,????,?????? ?????? ???? ???? ???? ????? ???? ?????.,?????????,???? ?????? ?????????? ???? ???? ???? ??????? ??????,??????????
I need to notarize my business loan documents.,Notary,???? ???? ??????? ?? ?????????? ?? ????? ???? ?? ???????? ???,?????,??? ??????? loan ? ??????????? ????? ????? ?????? |,??????,???? ?? ??????? ??? ???????? ??????? ??????.,?????,???? ???? ?????????? loan ??? ??????? ???????? ??? ??????,??????
I want to draft an employment contract for a new hire.,Document Writer,??? ?? ?? ????? ?? ??? ?? ?????? ?????? ?? ????? ????? ???? ????? ????,????????? ????,??? ?? ???? ???????? ???? ?? ?????? ?????????? ??????? ??????? ??????? |,??????????? ?????? |,???? ????? ?????? ???? ????? ??????????? ????????????????????????.,??????????? ?????,??? ???? ???? ?????? ???? ???? ??????????? ?????? ????? ???? ????,??? ????
I have a dispute with a business partner over profit distribution.,Mediator,??? ????? ?? ?? ??????? ??????? ?? ??? ???? ????? ???,???????,??? ????? ???? ??? ?? ??????? ??????? ???? ????? ??? |,?????????,????? ???????? ??????? ??????????? ???? ?????? ????.,?????????,?????? ??????? ??????? ?????????? ????????? ???? ???? ????? ???????,?????????????
I need assistance with a divorce settlement agreement.,Mediator,???? ???? ?? ?????? ?????? ?? ??? ?????? ?? ???????? ???,???????,??? ??????? ?????? ?????? ???? ?????? ?????? ??? |,?????????,??????? ???????? ????????? ???? ????? ??????.,?????????,???? ???????????? ????????? ???????? ??????? ??????,?????????????
I'm involved in a tax dispute with the IRS and need legal representation.,Advocate,??? ?????? ?? ??? ?? ?? ????? ??? ????? ??? ?? ?????? ???????????? ?? ???????? ???,????,??? ?????? ???? ?? ???? ??????? ???? ??? ????? ????????? ?????? ??? |,????,???? IRS ?? ????? ???????? ???????????? ????? ????????? ???????????? ?????.,?????????,??? ???????? ???? ???? ?? ?????? ????? ??? ???? ?????????????? ?????????,??????????
I need to draft terms and conditions for my e-commerce website.,Document Writer,???? ???? ?-?????? ??????? ?? ??? ?????? ?? ?????? ?? ????? ????? ???? ?? ???????? ???,????????? ????,??? ?-??????? ???????? ???? ???? ?????????? ??? ??????????? ??????? ??????? ???? |,??????????? ?????? |,?? ?-??????? ????????? ???? ???? ???????? ????? ??????? ????????????.,??????????? ?????,???? ?-??????? ??????????? ???? ???? ??????? ??? ??????? ????? ??? ??????,??? ????
I want to mediate a conflict between neighbors over property boundaries.,Mediator,??? ??????? ?? ?????? ?? ????????? ?? ??? ?????? ?? ????????? ???? ????? ????,???????,???????? ???? ???? ???????????? ?????? ?? ??????? ????????? ??????? |,?????????,???? ????? ??????????? ?????????? ???? ????????? ????????????? ??????????????????.,?????????,??? ????????? ?????? ????? ???????????? ????? ?????????? ????????? ???? ????,?????????????
I have a dispute with a former employer over wrongful termination.,Mediator,??? ??????? ?? ?? ????? ???????? ?? ??? ???? ????? ???,???????,???? ??????? ???? ??? ????? ???????????? ???? ?? ????? ??? |,?????????,??????? ????? ??????? ???? ???????? ???? ?????? ????.,?????????,??????? ???????? ?????? ???? ???????? ???????????? ???? ???? ????? ???????,?????????????
I need to notarize my business lease agreement.,Notary,???? ???? ??????? ????? ?????? ?? ????? ???? ?? ???????? ???,?????,??? ??????? ???? ???????????? ????? ????? ?????? |,??????,?? ??????? ???? ??????????? ???? ??????? ??????.,?????,???? ???? ?????????? ????? ???????? ???????? ??? ??????,??????
I want to draft a partnership agreement for my startup.,Document Writer,??? ???? ????????? ?? ??? ?? ???????? ?????? ?? ????? ????? ???? ????? ????,????????? ????,??? ??? ?????????? ???? ?? ???????? ?????? ???? ??????? ??????? ??????? |,??????????? ?????? |,?? ????????? ???? ?????????? ??????????? ????????????????????????.,??????????? ?????,??? ???? ??????????? ???? ???? ??????????? ??????? ????? ???? ???? ????,??? ????
I need legal advice for a personal injury claim after a slip and fall accident.,Advocate,???? ?? ????? ?? ?????? ?? ??? ?? ????????? ??? ?? ???? ?? ??? ?????? ???? ?? ???????? ???,????,?? ?????? ??? ??? ???????? ??? ??? ????????? ???? ???? ????? ??????? ????? |,????,?????? ????? ???? ??????? ?????? ????????? ???? ???? ???? ???? ????? ???? ?????.,?????????,????? ??? ???? ?????? ????????? ??? ????????? ?????? ????? ???? ???? ???? ??????? ??????,??????????
I need assistance with a vendor contract for my small business.,Document Writer,???? ???? ???? ??????? ?? ??? ?? ???????? ?????? ?? ??? ?????? ?? ???????? ???,????????? ????,??? ??? ??????? ???? ??? ??? ???????? ?????????? ???? ?????? ?????? ??? |,??????????? ?????? |,?? ????? ???????? ???? ??????? ????????? ???? ????? ??????.,??????????? ?????,???? ??? ?????????? ???? ???? ????????? ???????? ???? ??????? ??????,??? ????
I'm involved in a dispute with a contractor over a home renovation project gone wrong.,Mediator,??? ?? ?? ?? ?????? ???????? ?? ?? ??????? ?? ??? ????? ??? ????? ????,???????,??? ?? ???? ?????? ??????? ???? ?? ??????????? ???? ??????? ???? |,?????????,???? ???? ?????????? ???????????? ??????????????? ???????? ????????????.,?????????,??? ???? ??? ??????? ????????? ?????? ????????? ???? ??????? ???? ??????,?????????????
I want to mediate a dispute with a co-worker over workplace harassment.,Mediator,??? ????????? ???????? ?? ?? ??????? ?? ??? ?? ????? ?? ????????? ???? ????? ????,???????,??? ????????????? ??? ????????????? ???? ?? ??????? ???????????? ???????????? ???????? ???? |,?????????,???? ???????? ?????????? ??????????? ?????????? ????????????? ????????????????????.,?????????,??? ????????????? ???????? ?????? ???????? ???? ???? ??????? ????????? ???? ????,?????????????
I have a dispute with a former business partner over the division of assets.,Mediator,??????? ?? ?????? ?? ?? ????? ??????? ??????? ?? ??? ???? ????? ???,???????,????????? ?????? ???? ??? ????? ??????? ?????? ???? ??? ????? ??? |,?????????,?????? ??????? ???? ??????? ??????????? ???? ?????? ????.,?????????,????? ?????? ????? ???????? ?????????? ????????? ???? ???? ????? ???????,?????????????
I need to notarize my travel consent form for my child.,Notary,???? ???? ????? ?? ??? ???? ?????? ????? ????? ?? ????? ???? ?? ???????? ???,?????,?? ???? ???? ??? ????? ?????? ?????? ??? ????? ?????? |,??????,?? ?????? ???? ?? ?????? ?????? ???????? ??????? ??????.,?????,???? ???????? ???? ???? ??????? ?????? ?????? ???????? ??? ??????,??????
I want to draft a shareholder agreement for my startup company.,Document Writer,??? ???? ????????? ????? ?? ??? ?? ???????? ?????? ?? ????? ????? ???? ????? ????,????????? ????,??? ??? ?????????? ??????? ???? ?? ??????? ???????? ?? ??????? ?????????? ??????? ??????? ??????? |,??????????? ?????? |,?? ????????? ?????? ???? ????????? ??????????? ????????????????????????.,??????????? ?????,??? ???? ????????? ??????? ???? ???? ????????????? ?????? ????? ???? ????,??? ????
I'm involved in a dispute with a landlord over security deposit return.,Mediator,??? ??????? ??? ?????? ?? ?? ???? ????? ?? ??? ????? ??? ????? ????,???????,??? ??????? ??? ???????? ???? ?? ????????? ???? ?? ??????? ???? |,?????????,???? ?????????? ???????? ??????? ?? ?????????? ???????? ????????????.,?????????,??? ????????? ??????? ????????? ????? ???????????? ???? ?????? ??????,?????????????
I need legal representation for a civil lawsuit.,Advocate,???? ?? ?????? ?????? ?? ??? ?????? ???????????? ?? ???????? ???,????,?? ?????? ??????? ???? ???? ????? ????????? ????? |,????,??? ???? ???? ???? ????????? ???????????? ?????.,?????????,???? ???? ?????? ????? ????????? ???? ???? ???????????? ?????????,??????????
I need assistance with drafting a non-profit organization's bylaws.,Document Writer,???? ?? ???-??????? ????? ?? ?????? ?? ????? ????? ???? ??? ?????? ?? ???????? ???,????????? ????,??? ?? ??-??? ?????? ???? ??????? ??????? ?????? ??? |,??????????? ?????? |,????????????? ????? ????? ????????? ????????????? ???? ????? ??????.,??????????? ?????,???? ??????? ??????? ????????? ????? ?????? ???? ??????? ??????,??? ????
I want to mediate a contract dispute with a client to avoid litigation.,Mediator,??? ?????????? ?? ???? ?? ??? ?? ?????? ?? ??? ?? ?????? ????? ?? ????????? ???? ????? ????,???????,??????? ???? ????? ????? ???? ??? ?? ???????? ???? ?? ?????????? ????? ??????? ??????? |,?????????,???????????? ?????????????? ???? ??????????? ??????????? ?????????? ????????????? ??????????????????.,?????????,????? ???????? ?????? ??? ???????????? ???? ??????? ??????? ????????? ???? ????,?????????????
I have a dispute with a financial institution over a mortgage modification.,Mediator,???? ??? ?? ???? ?????? ?? ?? ??????? ??????? ?? ??? ????? ???,???????,?? ????? ?????????? ???? ?? ?????? ?????????? ???? ??? ????? ??? |,?????????,???? ???????? ???? ?????? ??????? ?????? ????.,?????????,?????? ???????? ????? ???? ?????? ???????????? ???? ????? ???????,?????????????
I need to notarize my divorce decree.,Notary,???? ???? ???? ?? ?????? ?? ????? ???? ?? ???????? ???,?????,??? ??????? ?????? ??? ????? ?????? |,??????,?? ??????? ???????? ??????? ??????.,?????,???? ???? ?????????????? ?????? ???????? ??? ??????,??????
I need to draft a rental agreement for my investment property.,Document Writer,???? ???? ????? ??????? ?? ??? ?? ?????? ?? ?????? ?? ????? ????? ???? ?? ???????? ???,????????? ????,??? ??????? ???????? ???? ???? ?? ??? ?????? ????? ?????? |,??????????? ?????? |,?? ????????? ????? ???? ????? ??????????? ????????????.,??????????? ?????,???? ?????????? ????????? ???? ????? ????? ??????? ????? ???? ???? ????,??? ????
I'm involved in a dispute with a co-founder of a tech startup over intellectual property rights.,Mediator,??? ??????? ????? ???????? ?? ?? ?????? ????????? ?? ??-???????? ?? ??? ????? ??? ????? ????,???????,? intellectual ????? ???????? ?????? ?????? ?????? ???? ?? ???? ?????????? ???? ??? ?? ????? ???? ???? |,?????????,???? ??????? ???????? ???? ????????? ????? ?? ??????????????? ???? ???????? ????????????.,?????????,??? ??????? ????????? ???????? ????? ??????????? ??????????? ??-???????????? ???? ??????? ???? ??????,?????????????
I want to mediate a family conflict regarding the care of an elderly family member.,Mediator,??? ?? ??????? ?????? ?? ????? ?? ?????? ?? ???? ??? ?? ????????? ?????? ?? ????????? ???? ????? ????,???????,??? ????? ?????? ???????? ???? ?????? ??? ?? ?????? ??????? ????????? ??????? |,?????????,????? ?????? ??????? ????????? ????????? ?????? ????????? ????????????? ????????????????????.,?????????,??? ???? ?????? ???????? ??????? ???? ???????? ???? ????????? ?????????? ????????? ???? ????,?????????????
I'm facing a legal issue related to immigration and need legal representation.,Advocate,??? ?????? ?? ??????? ?? ?????? ?????? ?? ????? ?? ??? ??? ?? ?????? ???????????? ?? ???????? ???,????,??? ??????? ???? ???? ?? ????? ?????? ?????? ????? ??? ????? ???????????? ?????? ??? |,????,???? ??????????????? ?????????? ????????? ??????? ???????????????? ????? ????????? ???????????? ?????.,?????????,??? ??????? ????????? ???? ???? ??????? ???????? ?????? ??? ???? ?????????????? ?????????,??????????
I need assistance with the formation of a non-governmental organization (NGO).,Document Writer,???? ?? ???-?????? ????? (?????) ?? ??? ?? ??? ?????? ?? ???????? ???,????????? ????,??? ?? ??-?????? ????? (ngo) ??? ???? ??????? ?????? ??? |,??????????? ?????? |,??????????? ????? (??????) ????????? ???? ????? ??????.,??????????? ?????,???? ???????? ?????? (?????) ???? ???? ??????? ??????,??? ????
I need to mediate a dispute with a supplier over product quality and delivery timelines.,Mediator,???? ?????? ?? ???????? ?? ????? ??????? ?? ?? ???????????? ?? ??? ????? ?? ????????? ???? ?? ???????? ???,???????,?????? ???????? ??? ????? ??????? ???? ?? ????????????? ?? ????? ??????? ???? |,?????????,???????? ?????? ????? ??????? ????????????? ??????????? ???? ?????????? ????????????? ??????.,?????????,???? ???? ????? ??? ????? ?????????? ????? ??????????? ???? ???? ??????? ????????? ???? ????,?????????????
I have a dispute with a neighbor over noise complaints and property boundaries.,Mediator,???? ??? ??? ?? ???????? ?? ??????? ?? ?????? ?? ?? ?????? ?? ??? ????? ???,???????,??? ? obs ??? ?????? ??? ???????? ???? ???? ?????? ???? ????? ??? |,?????????,????? ?????????? ????? ????? ??????????? ???? ???????????? ?????? ????.,?????????,?????? ?????? ??? ????????? ?????? ????? ?????????? ???? ???? ????? ???????,?????????????
I need legal advice for a child custody and visitation matter.,Advocate,???? ?? ??? ?????? ?? ???????? ?? ????? ?? ??? ?????? ???? ?? ???????? ???,????,?? ???? ?????? ??? ???????? ?????? ???? ???? ????? ??????? ????? |,????,?????? ????? ????? ??????? ????? ???? ???? ????? ???? ?????.,?????????,???? ???? ???? ?????? ??? ???????? ???????? ???? ???? ??????? ?????????,??????????
I need to notarize my medical power of attorney document.,Notary,???? ???? ?????? ???? ?? ??????? ????????? ?? ????? ???? ?? ???????? ???,?????,??? ???????? ??????????? ? ??????? ????? ?????? ????? ?????? ??? |,??????,?? ??????? ???? ??? ??????? ????????? ???? ??????? ??????.,?????,???? ???? ??????? ??????? ?? ????????? ?????????? ???????? ???? ????,??????
I want to draft a licensing agreement for my software product.,Document Writer,??? ???? ????????? ?????? ?? ??? ?? ?????????? ?????? ?? ????? ????? ???? ????? ????,????????? ????,??? ??? ???????? ?????? ???? ?? ???????? ?????? ???? ??????? ??????? ??????? |,??????????? ?????? |,?? ??????????? ???????? ???? ??????????? ??????????? ????????????????????????.,??????????? ?????,??? ???? ??????????? ??????? ???? ???? ???????? ??????? ????? ???? ???? ????,??? ????
I need help with a corporate merger or acquisition.,Advocate,???? ?? ????????? ???? ?? ???????? ?? ??? ??? ??????,????,??? ?? ????????? ?????? ?????? ?????????? ??????? ?????? ??? |,????,?????????? ?????? ???? ??????????? ???? ????? ??????.,?????????,???? ???????? ???????? ?? ?????????? ???? ??????? ??????,??????????
I'm involved in a workplace wrongful termination case.,Advocate,??? ?? ????????? ??? ??????? ????? ??? ????? ????,????,??? ?? ????????????? ???? ?????? ??????? ???? |,????,???? ???????? ??????? ????? ?????? ????????????.,?????????,??? ???? ????????????? ??? ???????? ???????? ??????,??????????
I have a dispute with my homeowners' association.,Arbitrator,???? ?? ?? ??????? ?? ??? ?? ??? ????? ???,???,??? ?? ???????? ?????? ???? ??? ????? ??? |,???????,?? ???? ??????? ?????? ???? ?????? ????.,?????????,???? ?????? ???????? ?????? ???? ???? ????? ???????,?????
I need assistance with a product licensing agreement.,Document Writer,???? ?? ?????? ?????????? ?????? ?? ??? ?????? ?? ???????? ???,????????? ????,??? ?? ?????? ???????? ?????????? ???? ?????? ?????? ??? |,??????????? ?????? |,???????? ??????????? ????????? ???? ????? ??????.,??????????? ?????,???? ???? ???? ?????????? ???????? ??????? ??????,??? ????
I want to protect my business trade secrets.,Advocate,??? ???? ??????? ??????? ??????? ?? ????? ???? ????? ????,????,??? ??? ??????? ??????? ??????? ??????? ?????? ??????? |,????,?? ??????? ??????? ????????? ??????????????????????.,?????????,??? ???? ?????????? ?????????? ????????? ????? ???? ????,??????????
I'm facing a breach of contract dispute with a supplier.,Arbitrator,??? ?? ???????????? ?? ??? ?????? ????? ?? ??????? ?? ??? ????,???,??? ?? ???????????? ???? ?????????? ?????? ???????? ????? |,???????,???? ??????????? ??????????? ?????? ????????? ????????????????.,?????????,??? ??????????? ???? ??????? ??????? ??????? ???????? ??????,?????
